name,latitude,longitude,bio01,bio02,bio03,bio04,bio05,bio06,bio07,bio08,bio09,bio10,bio11,bio12,bio13,bio14,bio15,bio16,bio17,bio18,bio19,us_l3name,grtgroup,soil pH in H20,soil organic carbon,soil sand,soil clay,soil bulk density,elevation,slope,aspect,gHM,NDVI,EVI,NBRT,greenness,landcover,impervious,percent_tree_cover,B1,B2,B3,B4,B5,B6,B7,B8,B8A,B9,B10,B11,B12
AS_DB1,34.203821,-118.166357,17.2,14.4,51.0,46.21,32.3,4.6,27.7,12.3,23.0,23.6,11.8,530.0,110.0,1.0,92.0,311.0,7.0,17.0,289.0,Southern California/Northern Baja Coast,289.0,7.2,0.6,45.0,24.0,14.8,363.1646423339844,12.627720490898621,130.22267050969737,0.7354370951652527,0.3545090854167938,0.33598059829502536,0.9720249516438437,0.48034045100212097,52.0,3.0,12.0,0.13830000162124634,0.11029999703168869,0.09605000168085098,0.09775000065565109,0.12720000743865967,0.18940000236034393,0.2138500064611435,0.2171500027179718,0.241799995303154,0.09754999727010727,0.001550000044517219,0.20440000295639038,0.13535000383853912
AS_DB2,34.204477,-118.166422,17.2,14.4,51.0,46.21,32.3,4.6,27.7,12.3,23.0,23.6,11.8,530.0,110.0,1.0,92.0,311.0,7.0,17.0,289.0,Southern California/Northern Baja Coast,289.0,7.2,0.6,45.0,24.0,14.7,363.1646423339844,14.163591440248101,106.25616956704138,0.7354370951652527,0.3986579477787018,0.37587716010690386,0.9720249516438437,0.5583656430244446,52.0,0.0,13.0,0.13680000603199005,0.10854999721050262,0.0929500013589859,0.0904499962925911,0.11715000122785568,0.18170000612735748,0.21250000596046448,0.2171500027179718,0.241799995303154,0.08365000039339066,0.001449999981559813,0.19005000591278076,0.11840000003576279
AS_PN1,34.20352,-118.166422,17.2,14.4,51.0,46.21,32.3,4.6,27.7,12.3,23.0,23.6,11.8,530.0,110.0,1.0,92.0,311.0,7.0,17.0,289.0,Southern California/Northern Baja Coast,289.0,7.2,0.6,45.0,24.0,14.8,349.764404296875,11.163669962249967,145.87080294544157,0.7354370951652527,0.34055259823799133,0.33598059829502536,0.9714470414321196,0.48034045100212097,52.0,3.0,12.0,0.13830000162124634,0.11029999703168869,0.09605000168085098,0.09775000065565109,0.12720000743865967,0.18970000743865967,0.2168000042438507,0.21819999814033508,0.2467000037431717,0.09769999980926514,0.001550000044517219,0.21459999680519104,0.13535000383853912
AS_PN2,34.204507,-118.166361,17.2,14.4,51.0,46.21,32.3,4.6,27.7,12.3,23.0,23.6,11.8,530.0,110.0,1.0,92.0,311.0,7.0,17.0,289.0,Southern California/Northern Baja Coast,289.0,7.2,0.6,45.0,24.0,14.7,363.1646423339844,14.163591440248101,106.25616956704138,0.7354370951652527,0.3986579477787018,0.37587716010690386,0.9720249516438437,0.5583656430244446,52.0,0.0,13.0,0.13680000603199005,0.10854999721050262,0.0929500013589859,0.0904499962925911,0.11715000122785568,0.18170000612735748,0.21250000596046448,0.2171500027179718,0.241799995303154,0.08365000039339066,0.001449999981559813,0.19005000591278076,0.11840000003576279
K0551_L7,34.203776,-118.166396,17.2,14.4,51.0,46.21,32.3,4.6,27.7,12.3,23.0,23.6,11.8,530.0,110.0,1.0,92.0,311.0,7.0,17.0,289.0,Southern California/Northern Baja Coast,289.0,7.2,0.6,45.0,24.0,14.8,363.1646423339844,12.627720490898621,130.22267050969737,0.7354370951652527,0.3545090854167938,0.33598059829502536,0.9720249516438437,0.48034045100212097,52.0,3.0,12.0,0.13830000162124634,0.11029999703168869,0.09605000168085098,0.09775000065565109,0.12720000743865967,0.18940000236034393,0.2168000042438507,0.21819999814033508,0.2467000037431717,0.09754999727010727,0.001550000044517219,0.20440000295639038,0.13535000383853912
K0559_B2,34.204082,-118.166378,17.2,14.4,51.0,46.21,32.3,4.6,27.7,12.3,23.0,23.6,11.8,530.0,110.0,1.0,92.0,311.0,7.0,17.0,289.0,Southern California/Northern Baja Coast,289.0,7.2,0.6,45.0,24.0,14.7,363.1646423339844,12.627720490898621,114.68057563727523,0.7354370951652527,0.3659297525882721,0.37587716010690386,0.9720249516438437,0.48034045100212097,52.0,3.0,12.0,0.13680000603199005,0.10854999721050262,0.0929500013589859,0.0904499962925911,0.11715000122785568,0.18170000612735748,0.21250000596046448,0.2171500027179718,0.241799995303154,0.08789999783039093,0.001550000044517219,0.19005000591278076,0.11840000003576279
K0559_C3,34.204103,-118.166367,17.2,14.4,51.0,46.21,32.3,4.6,27.7,12.3,23.0,23.6,11.8,530.0,110.0,1.0,92.0,311.0,7.0,17.0,289.0,Southern California/Northern Baja Coast,289.0,7.2,0.6,45.0,24.0,14.7,363.1646423339844,12.627720490898621,114.68057563727523,0.7354370951652527,0.3659297525882721,0.37587716010690386,0.9720249516438437,0.48034045100212097,52.0,3.0,12.0,0.13680000603199005,0.10854999721050262,0.0929500013589859,0.0904499962925911,0.11715000122785568,0.18170000612735748,0.21250000596046448,0.2171500027179718,0.241799995303154,0.08789999783039093,0.001550000044517219,0.19005000591278076,0.11840000003576279
K0559_E4,34.204439,-118.166435,17.2,14.4,51.0,46.21,32.3,4.6,27.7,12.3,23.0,23.6,11.8,530.0,110.0,1.0,92.0,311.0,7.0,17.0,289.0,Southern California/Northern Baja Coast,289.0,7.2,0.6,45.0,24.0,14.7,363.1646423339844,14.163591440248101,114.68057563727523,0.7354370951652527,0.3986579477787018,0.37587716010690386,0.9720249516438437,0.5583656430244446,52.0,1.0,12.0,0.13680000603199005,0.10854999721050262,0.0929500013589859,0.0904499962925911,0.11715000122785568,0.18170000612735748,0.21250000596046448,0.2171500027179718,0.241799995303154,0.08789999783039093,0.001550000044517219,0.19005000591278076,0.11840000003576279
K0559_G5,34.2034,-118.166468,17.2,14.4,51.0,46.21,32.3,4.6,27.7,12.3,23.0,23.6,11.8,530.0,110.0,1.0,92.0,311.0,7.0,17.0,289.0,Southern California/Northern Baja Coast,289.0,7.2,0.6,45.0,24.0,14.8,343.4212646484375,10.360472176152326,145.87080294544157,0.7354370951652527,0.34055259823799133,0.33598059829502536,0.9714470414321196,0.48034045100212097,52.0,3.0,9.0,0.15035000443458557,0.11874999850988388,0.10499999672174454,0.10760000348091125,0.13095000386238098,0.18970000743865967,0.2168000042438507,0.21819999814033508,0.2467000037431717,0.09769999980926514,0.001550000044517219,0.21459999680519104,0.13555000722408295
K0559_K6,34.204103,-118.166367,17.2,14.4,51.0,46.21,32.3,4.6,27.7,12.3,23.0,23.6,11.8,530.0,110.0,1.0,92.0,311.0,7.0,17.0,289.0,Southern California/Northern Baja Coast,289.0,7.2,0.6,45.0,24.0,14.7,363.1646423339844,12.627720490898621,114.68057563727523,0.7354370951652527,0.3659297525882721,0.37587716010690386,0.9720249516438437,0.48034045100212097,52.0,3.0,12.0,0.13680000603199005,0.10854999721050262,0.0929500013589859,0.0904499962925911,0.11715000122785568,0.18170000612735748,0.21250000596046448,0.2171500027179718,0.241799995303154,0.08789999783039093,0.001550000044517219,0.19005000591278076,0.11840000003576279
K0559_M8,34.203175,-118.166459,17.2,14.4,51.0,46.21,32.3,4.6,27.7,12.3,23.0,23.6,11.8,530.0,110.0,1.0,92.0,311.0,7.0,17.0,289.0,Southern California/Northern Baja Coast,289.0,7.2,0.6,45.0,24.0,14.8,343.4212646484375,10.360472176152326,147.00173668133294,0.7354370951652527,0.34055259823799133,0.33598059829502536,0.9712613553963315,0.4496992826461792,52.0,3.0,9.0,0.155799999833107,0.11874999850988388,0.10499999672174454,0.10760000348091125,0.13095000386238098,0.18970000743865967,0.2168000042438507,0.21819999814033508,0.2467000037431717,0.09769999980926514,0.001550000044517219,0.21459999680519104,0.13555000722408295
K0559_T9,34.203765,-118.166406,17.2,14.4,51.0,46.21,32.3,4.6,27.7,12.3,23.0,23.6,11.8,530.0,110.0,1.0,92.0,311.0,7.0,17.0,289.0,Southern California/Northern Baja Coast,289.0,7.2,0.6,45.0,24.0,14.7,363.1646423339844,12.627720490898621,130.22267050969737,0.7354370951652527,0.3545090854167938,0.33598059829502536,0.9720249516438437,0.48034045100212097,52.0,3.0,12.0,0.13830000162124634,0.11029999703168869,0.09605000168085098,0.09775000065565109,0.12720000743865967,0.18940000236034393,0.2168000042438507,0.21819999814033508,0.2467000037431717,0.09754999727010727,0.001550000044517219,0.20440000295639038,0.13535000383853912
